disarm_id,technique_id
C00016,T0021
C00016,T0025
C00016,T0024
C00016,T0026
C00016,T0044
C00016,T0045
C00016,T0043
C00016,T0056
C00016,T0051
C00016,T0049
C00016,T0052
C00016,T0054
C00016,T0053
C00016,T0055
C00016,T0058
C00016,T0057
C00017,T0001
C00017,T0002
C00017,T0003
C00017,T0027
C00017,T0028
C00017,T0022
C00017,T0023
C00019,T0001
C00019,T0002
C00019,T0003
C00019,T0027
C00019,T0028
C00019,T0022
C00019,T0023
C00019,T0053
C00019,T0044
C00019,T0052
C00019,T0056
C00021,T0001
C00021,T0002
C00021,T0003
C00021,T0006
C00021,T0027
C00021,T0028
C00021,T0022
C00021,T0023
C00021,T0053
C00021,T0044
C00024,T0001
C00024,T0002
C00024,T0003
C00024,T0006
C00024,T0027
C00024,T0028
C00024,T0022
C00024,T0023
C00024,T0053
C00024,T0044
C00026,T0001
C00026,T0002
C00027,T0001
C00027,T0002
C00027,T0003
C00027,T0006
C00027,T0027
C00027,T0028
C00027,T0022
C00027,T0021
C00027,T0023
C00027,T0048
C00027,T0053
C00027,T0044
C00027,T0039
C00029,T0002
C00029,T0003
C00029,T0006
C00029,T0027
C00029,T0028
C00029,T0022
C00028,TA07
C00028,TA08
C00028,TA09
C00028,TA10
C00030,T0002
C00030,T0003
C00030,T0006
C00030,T0027
C00030,T0028
C00030,T0022
C00031,T0002
C00031,T0003
C00031,T0006
C00031,T0027
C00031,T0028
C00042,T0004
C00042,T0019
C00042,T0022
C00042,T0027
C00042,T0028
C00042,T0042
C00042,T0044
C00042,T0056
C00042,T0059
C00032,T0055
C00034,T0009
C00034,T0007
C00034,T0012
C00034,T0030
C00036,T0005
C00036,T0007
C00036,T0010
C00036,T0012
C00036,T0030
C00036,T0045
C00036,T0056
C00036,T0057
C00040,T0007
C00040,T0009
C00040,T0012
C00067,T0017
C00067,T0061
C00044,T0029
C00044,T0049
C00044,T0054
C00044,T0053
C00044,T0055
C00044,T0056
C00044,T0051
C00044,T0050
C00046,T0010
C00046,T0044
C00046,T0021
C00046,T0022
C00046,T0023
C00046,T0027
C00046,T0039
C00046,T0045
C00046,T0048
C00046,T0051
C00046,T0052
C00046,T0053
C00046,T0054
C00046,T0056
C00046,T0057
C00046,T0060
C00046,T0061
C00047,T0063
C00047,T0062
C00048,T0010
C00048,T0045
C00048,T0048
C00048,T0051
C00048,T0052
C00048,T0053
C00048,T0054
C00048,T0056
C00048,T0057
C00048,T0060
C00048,T0061
C00051,T0010
C00051,T0012
C00052,T0012
C00052,T0030
C00053,T0011
C00053,T0030
C00058,T0017
C00058,T0061
C00059,T0014
C00060,TA07
C00060,T0047
C00062,TA01
C00062,TA02
C00062,TA15
C00062,TA15
C00062,TA05
C00062,TA06
C00062,TA07
C00062,TA08
C00062,TA09
C00062,TA10
C00062,TA11
C00062,TA12
C00065,T0018
C00066,T0015
C00066,T0055
C00080,T0003
C00080,T0004
C00080,T0028
C00080,T0022
C00080,T0027
C00070,T0008
C00070,T0014
C00070,T0015
C00070,T0017
C00070,T0046
C00070,T0052
C00070,T0055
C00070,T0057
C00070,T0056
C00070,T0058
C00071,T0019
C00071,T0056
C00072,T0019
C00072,T0010
C00072,T0044
C00072,T0021
C00072,T0022
C00072,T0023
C00072,T0027
C00072,T0039
C00072,T0055
C00072,T0049
C00073,T0016
C00073,T0019
C00073,T0056
C00073,T0010
C00073,T0021
C00073,T0022
C00073,T0023
C00073,T0026
C00073,T0025
C00073,T0027
C00073,T0039
C00073,T0040
C00073,T0044
C00073,T0045
C00073,T0048
C00073,T0053
C00073,T0056
C00073,T0060
C00074,T0019
C00074,T0021
C00074,T0022
C00074,T0026
C00074,T0025
C00074,T0043
C00074,T0050
C00074,T0051
C00074,T0049
C00074,T0052
C00074,T0053
C00074,T0054
C00074,T0055
C00074,T0057
C00074,T0061
C00074,T0060
C00076,T0016
C00076,T0018
C00076,T0039
C00076,T0044
C00076,T0021
C00078,TA07
C00078,T0044
C00078,T0046
C00078,T0056
C00078,T0052
C00078,T0060
C00084,T0002
C00084,T0003
C00084,T0004
C00084,T0028
C00084,T0006
C00084,T0022
C00084,T0027
C00084,T0059
C00081,T0003
C00081,T0004
C00081,T0028
C00081,T0006
C00081,T0022
C00081,T0023
C00081,T0026
C00081,T0027
C00081,T0044
C00081,T0053
C00081,T0054
C00081,T0055
C00081,T0056
C00082,T0002
C00082,T0003
C00082,T0004
C00082,T0028
C00082,T0006
C00082,T0022
C00082,T0023
C00082,T0025
C00082,T0026
C00082,T0027
C00082,T0044
C00082,T0053
C00082,T0054
C00082,T0055
C00082,T0056
C00087,T0039
C00087,T0044
C00087,T0048
C00087,T0050
C00087,T0051
C00087,T0049
C00087,T0052
C00087,T0054
C00087,T0053
C00087,T0055
C00087,T0056
C00085,T0008
C00085,T0007
C00085,T0017
C00085,T0022
C00085,T0021
C00085,T0025
C00085,T0024
C00085,T0026
C00085,T0045
C00085,T0044
C00085,T0049
C00085,T0051
C00085,T0052
C00085,T0053
C00085,T0054
C00085,T0055
C00085,T0056
C00085,T0057
C00085,T0061
C00085,T0060
C00086,T0044
C00086,T0050
C00086,T0051
C00086,T0049
C00086,T0054
C00086,T0053
C00086,T0055
C00112,T0040
C00112,T0042
C00090,T0020
C00090,T0062
C00090,T0063
C00091,T0062
C00091,T0063
C00091,T0054
C00091,T0053
C00091,T0049
C00092,TA07
C00092,TA08
C00092,T0010
C00092,T0023
C00092,T0039
C00092,T0045
C00092,T0044
C00092,T0054
C00092,T0053
C00092,T0056
C00093,TA07
C00093,T0010
C00093,T0017
C00093,T0039
C00093,T0047
C00093,T0048
C00093,T0053
C00094,T0026
C00096,T0022
C00096,T0027
C00096,T0026
C00096,T0024
C00096,T0023
C00096,T0025
C00097,T0029
C00097,T0030
C00097,T0045
C00097,T0009
C00097,T0007
C00097,T0054
C00097,T0053
C00098,T0038
C00098,T0011
C00099,T0030
C00099,T0045
C00099,T0009
C00099,T0008
C00099,T0007
C00100,T0055
C00101,T0029
C00101,T0049
C00101,T0053
C00101,T0054
C00103,T0029
C00103,T0062
C00103,T0063
C00103,T0053
C00105,T0016
C00105,T0018
C00106,T0016
C00107,T0009
C00107,T0008
C00107,T0007
C00107,T0013
C00107,T0014
C00107,T0015
C00107,T0016
C00107,T0017
C00107,T0018
C00107,T0021
C00107,T0025
C00107,T0024
C00107,T0026
C00107,T0045
C00107,T0055
C00107,T0057
C00107,T0001
C00107,T0022
C00107,T0027
C00107,T0061
C00111,T0010
C00118,T0044
C00118,T0021
C00118,T0024
C00113,T0045
C00114,T0039
C00114,T0048
C00115,T0041
C00115,T0048
C00115,T0052
C00115,T0053
C00115,T0056
C00116,T0041
C00117,T0046
C00117,T0022
C00117,T0021
C00117,T0025
C00117,T0024
C00117,T0026
C00117,T0045
C00117,T0044
C00117,T0060
C00125,T0056
C00125,T0052
C00125,T0054
C00125,T0053
C00125,T0055
C00125,T0045
C00125,T0022
C00125,T0027
C00125,T0002
C00125,T0003
C00125,T0004
C00125,T0010
C00119,T0022
C00119,T0021
C00119,T0025
C00119,T0024
C00119,T0026
C00119,T0045
C00119,T0044
C00119,T0060
C00120,T0047
C00120,T0052
C00120,T0053
C00120,T0054
C00120,T0055
C00120,T0056
C00121,T0043
C00122,T0008
C00122,T0007
C00122,T0014
C00122,T0015
C00122,T0016
C00122,T0017
C00122,T0018
C00122,T0022
C00122,T0021
C00122,T0025
C00122,T0024
C00122,T0026
C00122,T0045
C00122,T0044
C00122,T0049
C00122,T0051
C00122,T0052
C00122,T0053
C00122,T0054
C00122,T0055
C00122,T0056
C00122,T0057
C00122,T0061
C00122,T0060
C00123,T0029
C00123,T0049
C00123,T0054
C00123,T0060
C00124,TA08
C00124,TA09
C00124,T0053
C00124,T0063
C00211,T0027
C00211,T0022
C00211,T0028
C00211,T0026
C00211,T0021
C00211,T0020
C00211,T0025
C00211,T0024
C00211,T0026
C00211,T0045
C00211,T0055
C00211,T0057
C00126,T0056
C00126,T0052
C00126,T0054
C00126,T0053
C00126,T0055
C00126,T0045
C00126,T0022
C00126,T0027
C00126,T0002
C00126,T0003
C00126,T0004
C00126,T0010
C00126,T0057
C00128,T0050
C00128,T0056
C00128,T0049
C00128,T0052
C00128,T0054
C00128,T0053
C00128,T0055
C00128,T0057
C00128,T0061
C00129,T0057
C00129,T0061
C00129,T0014
C00129,T0017
C00129,T0018
C00130,T0010
C00131,T0049
C00131,T0054
C00131,T0060
C00133,TA07
C00133,TA09
C00133,TA10
C00133,T0007
C00133,T0009
C00133,T0045
C00133,T0011
C00133,T0045
C00135,TA07
C00135,TA09
C00135,TA10
C00135,T0007
C00135,T0043
C00136,TA08
C00136,TA09
C00136,TA10
C00136,T0010
C00136,T0020
C00136,T0063
C00138,T0060
C00138,T0056
C00140,TA05
C00140,TA09
C00140,TA10
C00142,TA05
C00142,TA09
C00142,TA10
C00142,TA11
C00142,T0016
C00143,T0060
C00143,T0058
C00143,T0024
C00144,T0053
C00147,T0060
C00148,T0062
C00148,T0063
C00149,TA12
C00149,T0020
C00149,T0046
C00149,T0057
C00149,T0063
C00153,T0008
C00153,T0007
C00153,T0011
C00153,T0013
C00153,T0014
C00153,T0017
C00153,T0018
C00153,T0056
C00153,T0049
C00153,T0052
C00153,T0054
C00153,T0053
C00153,T0058
C00153,T0057
C00153,T0061
C00154,T0039
C00154,T0048
C00154,T0045
C00155,T0014
C00155,T0017
C00156,T0022
C00156,T0027
C00156,T0002
C00156,T0003
C00156,T0004
C00156,T0010
C00160,T0039
C00160,T0010
C00160,T0048
C00161,T0022
C00161,T0027
C00161,T0002
C00161,T0003
C00161,T0004
C00162,T0010
C00162,T0022
C00162,T0027
C00162,T0002
C00162,T0003
C00162,T0004
C00162,T0039
C00162,T0052
C00162,T0056
C00162,T0050
C00164,T0022
C00164,T0027
C00164,T0002
C00164,T0003
C00164,T0004
C00165,T0025
C00169,T0010
C00169,T0022
C00169,T0027
C00169,T0002
C00169,T0003
C00169,T0004
C00169,T0039
C00172,T0008
C00172,T0007
C00172,T0013
C00174,T0001
C00174,T0045
C00174,T0010
C00174,T0022
C00174,T0027
C00174,T0044
C00176,T0009
C00176,T0008
C00176,T0007
C00176,T0013
C00176,T0014
C00176,T0015
C00176,T0016
C00176,T0017
C00176,T0018
C00176,T0021
C00176,T0025
C00176,T0024
C00176,T0026
C00176,T0045
C00176,T0043
C00176,T0056
C00176,T0051
C00176,T0049
C00176,T0052
C00176,T0054
C00176,T0053
C00176,T0055
C00176,T0058
C00176,T0057
C00176,T0001
C00176,T0003
C00176,T0010
C00176,T0022
C00176,T0027
C00176,T0061
C00178,T0016
C00178,T0017
C00178,T0018
C00178,T0020
C00182,T0011
C00182,T0054
C00184,T0045
C00184,T0055
C00184,T0039
C00184,T0041
C00184,T0044
C00184,T0045
C00184,T0010
C00188,T0001
C00188,T0003
C00188,T0022
C00188,T0027
C00188,T0045
C00188,T0008
C00188,T0010
C00188,T0039
C00188,T0046
C00189,T0008
C00189,T0007
C00189,T0011
C00189,T0014
C00189,T0009
C00190,T0001
C00190,T0003
C00190,T0010
C00190,T0022
C00190,T0027
C00190,T0025
C00195,T0010
C00195,T0016
C00195,T0018
C00195,T0022
C00195,T0027
C00195,T0025
C00195,T0024
C00195,T0026
C00195,T0045
C00195,T0046
C00195,T0055
C00197,T0009
C00197,T0007
C00197,T0011
C00200,T0010
C00200,T0027
C00200,T0022
C00200,T0045
C00200,T0025
C00202,T0025
C00203,T0010
C00203,T0027
C00203,T0022
C00203,T0028
C00203,T0039
C00203,T0045
C00203,T0056
C00203,T0052
C00205,T0001
C00205,T0003
C00205,T0022
C00205,T0025
C00205,T0027
C00212,T0001
C00212,T0003
C00212,T0010
C00212,T0022
C00216,T0014
C00216,T0016
C00216,T0017
C00216,T0061
C00216,T0018
C00216,T0057
C00219,T0024
C00219,T0026
C00219,T0025
