disarm_id,name,objecttype,summary,year_started,attributions_seen,found_in_country,urls,notes,when_added,found_via,longname
I00015,ConcordDiscovery,incident,"The Office of Special Counsel accused Concord Management (an IRA funder/handler) and its counsel of abusing the discovery process by leaking discovery materials under false pretences: the documents were altered; the documents were portrayed as material obtained by hacking, rather than legal process; the released documents are selected to maximize exposure targets and methods. ",2019,Russia,USA,https://www.theatlantic.com/politics/archive/2019/02/new-mueller-filing-shows-how-russia-misuses-us-courts/581884/,,2019-02-01,,I00015 - ConcordDiscovery
I00016,LithuanianElves,campaign,,2014,Russia,Lithuania,https://www.ft.com/content/b3701b12-2544-11e9-b329-c7e6ceb5ffdf,,2019-02-01,,I00016 - LithuanianElves
I00017,US presidential elections,campaign,"Make Clinton look bad or unpopular, and Trump look good over a long period, to change individuals’ voting intentions. ",2016,Russia,USA,https://www.dni.gov/files/documents/ICA_2017_01.pdf,,2019-02-24,OII,I00017 - US presidential elections
I00018,DNC email leak incident,tactic,,2016,Russia,USA,,"Channels: RU domestic, RU multilingual (RT/Sputnik), trolls. OII",2019-02-24,OII,I00018 - DNC email leak incident
I00019,MacronTiphaine,incident,Far-right trolls on 4chan and Twitter spreading misinformation about French candidate Macron and spur support for rival candidate Le Pen.,2017,,France,https://www.buzzfeednews.com/article/ryanhatesthis/heres-how-far-right-trolls-are-spreading-hoaxes-about,Trolls OII,2019-02-24,OII,I00019 - MacronTiphaine
I00020,3000 tanks,incident,,2017,Russia,World,https://medium.com/@DFRLab/three-thousand-fake-tanks-575410c4f64d,,2019-02-24,OII,I00020 - 3000 tanks
I00021,Armenia elections,campaign,,2017,Russia,Armenia,https://medium.com/dfrlab/fakes-bots-and-blockings-in-armenia-44a4c87ebc46,,2019-02-24,OII,I00021 - Armenia elections
I00022,#Macronleaks,incident,"Countering the spreading of an alleged 9GB of “leaked”, fake documents of Macron campaign",2017,Russia,France,https://medium.com/dfrlab/hashtag-campaign-macronleaks-4a3fb870c4e8,,2019-02-24,OII,I00022 - #Macronleaks
I00023,#dislikemacron,incident,,2017,Russia,France,https://medium.com/dfrlab/russian-and-french-twitter-mobs-in-election-push-bca327aa41a5,unsuccessful,2019-02-24,OII,I00023 - #dislikemacron
I00024,#syriahoax,incident,,2017,Syria,USA,https://medium.com/dfrlab/how-the-alt-right-brought-syriahoax-to-america-47745118d1c9,,2019-02-24,OII,I00024 - #syriahoax
I00025,EU Army,incident,"Traces back to 2016: Guardian “Is there a secret plan to create an EU army?” French President Emmanuel Macron has warned that Europeans cannot be protected without a ""true, European army"", as he marks the centenary of the World War One Armistice. On a visit to the former Western Front in Verdun, he said Russia had shown it could be a threat and Europe had to be able ""to defend itself better alone"". German Chancellor Angela Merkel backed the idea of an intervention force in June, but said it would have to be part of ""the structure of defence co-operation"".

Verdict: “An EU army marching out to war under Brussels’ command is a fantasy shared by Eurosceptics and a small number of federalists. Europe will continue down the road of defence cooperation in a halting way, but an EU army is only for armchair generals.”",2018,Russia,EU,https://medium.com/dfrlab/spread-it-on-reddit-3170a463e787,,2019-02-24,OII,I00025 - EU Army
I00026,Netherlands referendum on Ukraine,incident,,2016,Russia,Netherlands,https://www.washingtonpost.com/opinions/russias-influence-in-western-elections/2016/04/08/b427602a-fcf1-11e5-886f-a037dba38301_story.html,,2019-02-24,OII,I00026 - Netherlands referendum on Ukraine
I00027,crucifiedboy,incident,,2014,Russia,Ukraine,https://helda.helsinki.fi//bitstream/handle/10138/233374/KhaldarovaPanttiFakeNews.pdf?sequence=1,,2019-02-24,OII,I00027 - crucifiedboy
I00028,mh17 downed,incident,,2014,Russia,Ukraine,https://www.stopfake.org/en/lies-spanish-flight-operations-officer-from-kiev-informed-about-ukrainian-planes-involved-in-boeing-tragedy/%20https:/globalvoices.org/2014/07/20/the-russian-governments-7000-wikipedia-edits/%20https:/foreignpolicy.com/2016/09/29/how-mh17-gave-birth-to-the-modern-russian-spin-machine-putin-ukraine/,,2019-02-24,OII,I00028 - mh17 downed
I00029,MH17 investigation,campaign,"Since the shooting down of Malaysia Airlines Flight 17 (MH17) a scheduled passenger flight from Amsterdam to Kuala Lumpur on 17 July 2014 while flying over eastern Ukraine, killing all 283 passengers and 15 crew on board… wreckage of the aircraft fell near Hrabove in Donetsk Oblast, Ukraine, 40 km (25 mi) from the border.The shoot-down occurred in the War in Donbass, during the Battle of Shakhtarsk, in an area controlled by pro-Russian rebels. This has proven to be an ongoing example of Russia and their proxies ability to wage a disinformation campaign, and exemplify the use of the 4 D’s (dismiss, distort, distract, and dismay) ",2016,Russia,Ukraine,https://www.novayagazeta.ru/news/2015/05/07/112052-facebook-zablokiroval-sergeya-parhomenko-za-kommentariy-doklada-o-sbitom-171-boinge-187%20 https://news.online.ua/754036/v-sotssetyah-na-paltsah-pokazali-kak-rabotayut-boty-kremlya-opublikovany-foto/ https://www.mirror.co.uk/news/world-news/ukraine-involved-mh17-downing-claims-14184413,"Changed to campaign (still in the news, and still Russia accusing Ukraine... TASS 03/25/19 and UK Daily Mirror (see URL's). It's links to overall campaign directed against Ukraine",2019-02-24,OII,I00029 - MH17 investigation
I00030,LastJedi,incident,,2018,Russia,World,https://slate.com/culture/2018/10/last-jedi-star-wars-twitter-backlash-russia-trolls.html,,2019-02-24,OII,I00030 - LastJedi
I00031,antivax,apt,,2018,Russia,World,https://ajph.aphapublications.org/doi/pdf/10.2105/AJPH.2018.304567,,2019-02-24,OII,I00031 - antivax
I00032,Kavanaugh,incident,"Before the Senate SCOTUS confirmation hearings of Brett Kavanaugh, professor Christine Blasey Ford--first anonymously, then publicly--accused Kavanaugh of inappropriate or criminal sexual behavior. Amplified by Russian trolls Right wing operatives first tried to doxx Ford, then to discredit her. Many observers suggest that the Kavanaugh hearings were the largest anti-US Russian online operation for months. ",2018,Russia,USA,https://qz.com/1409102/russian-trolls-and-bots-are-flooding-twitter-with-ford-kavanaugh-disinformation/,,2019-02-24,OII,I00032 - Kavanaugh
I00033,China 50cent Army,apt,"50cent Army is a CCP “tool” - “massive secret operation” in China pumping out an estimated 488 million fabricated social media posts per year, part of an effort to “regularly distract the public and change the subject” from any policy-related issues that threaten to anger citizens enough to turn them out onto the streets. But the research finds no evidence these 50-centers are, in fact, paid 50 cents, nor does it find they engage in direct and angry argument with their opponents. Instead, they are mostly bureaucrats already on the public payroll, responding to government directives at a time of heightened tension to flood social media with pro-government cheerleading.",2014,China,China,https://gking.harvard.edu/files/gking/files/how_the_chinese_government_fabricates_social_media_posts_for_strategic_distraction_not_engaged_argument.pdf https://www.voanews.com/a/who-is-that-chinese-troll/3540663.html,"campaign (multiple incidents, e.g. Shanshan riots)",2019-02-24,OII,I00033 - China 50cent Army
I00034,DibaFacebookExpedition,incident,"In the Expedition, Diba engaged in a highly organized cyber-attack of a Taiwanese political leader. On January 20, 2016 (the day of President Tsai Ing-wen’s inauguration) featuring the posting of an overwhelming number of social media comments in support of a PRC-sanctioned message. Netizens from one of the largest discussion forums in China, known as Diba, coordinated to overcome China’s Great Firewall to flood the Facebook pages of Taiwanese politicians and news agencies with a pro-PRC message, a cyberattack referred to as the “Diba Expedition to Facebook.” 

Unique for taking place outside of the Chinese Internet system, both transgressing technical and political norms while exposing their actions to an international audience. In spite of the transgressive nature of the action, “Diba Expedition” was highly praised by Chinese official media, in contrast to comparable activities in the past that lacked its explicit pro-government ideology. Yet—reflecting the complexity of Diba’s relationship with the PRC government—the Expedition was shut down after a few days.",2016,China,Taiwan,https://www.ideals.illinois.edu/handle/2142/96746 https://qz.com/598812/an-army-of-chinese-trolls-has-jumped-the-great-firewall-to-attack-taiwanese-independence-on-facebook/,,2019-02-24,OII,I00034 - DibaFacebookExpedition
I00035,Brazilelections,campaign,Bot activity in Brazil elections,2014,Brazil,Brazil,https://blogs.oii.ox.ac.uk/politicalbots/wp-content/uploads/sites/89/2017/06/Comprop-Brazil-1.pdf,,2019-02-24,OII,I00035 - Brazilelections
I00036,BrazilPresDebate,incident,,2014,Brazil,Brazil,https://www.wilsoncenter.org/blog-post/bots-brazil-the-activity-social-media-bots-brazilian-elections,,2019-02-24,OII,I00036 - BrazilPresDebate
I00037,Rioelections,incident,,2016,Brazil,Brazil,https://www1.folha.uol.com.br/poder/eleicoes-2016/2016/10/1823713-eleicao-no-rio-tem-tatica-antiboato-e-suspeita-de-uso-de-robos.shtml,,2019-02-24,OII,I00037 - Rioelections
I00038,Brazilimpeachment,incident,,2016,Brazil,Brazil,http://www.labic.net/cartografia/a-rede-das-imagens-da-vaiadilma-novas-relacoes/ https://www.researchgate.net/publication/300415619_The_Influence_of_Retweeting_Robots_During_Brazilian_Protests,,2019-02-24,OII,I00038 - Brazilimpeachment
I00039,MerkelFacebook,incident,"Top stories about Merkel in both German and English were negative and misleading, most published from fake news sites.",2017,Unknown,Germany,https://www.buzzfeed.com/albertonardelli/hyperpartisan-sites-and-facebook-pages-are-publishing-false,,2019-02-24,OII,I00039 - MerkelFacebook
I00040,modamaniSelfie,incident,,2015,Unknown,Germany,https://www.nytimes.com/2017/02/06/business/syria-refugee-anas-modamani-germany-facebook.html,,2019-02-24,OII,I00040 - modamaniSelfie
I00041,Refugee crime map,incident,,2017,Unknown,Germany,https://uebermedien.de/11488/kartenlegen-mit-kriminellen-auslaendern/,,2019-02-24,OII,I00041 - Refugee crime map
I00042,Saudi/Qatar bot dispute,incident,"In the summer of 2017, Twitter bots—automated accounts—were deployed to boost messaging on both sides of the diplomatic dispute between Saudi Arabia and Qatar.” Calling this a “diplomatic dispute” understates the complexity of regional dynamics, at the center is an alleged report that Qatar’s emir, Sheikh Tamim bin Hamad al-Thani, had made an astonishing speech, and alleged “hack” of Qatar’s official news agency, and further woven into concerns Saudi Arabia has about the influence of public perception, the role of Al Jazeera. ",2017,SaudiArabia,Qatar,https://jia.sipa.columbia.edu/robot-wars-how-bots-joined-battle-gulf,"robot wars how bots joined battle in the gulf""",2019-02-24,MIS,I00042 - Saudi/Qatar bot dispute
I00043,FCC comments,incident,,2017,Unknown,USA,https://gizmodo.com/how-an-investigation-of-fake-fcc-comments-snared-a-prom-1832788658,"does this count as an incident, or is it just hacking as usual?",2019-02-24,MIS,I00043 - FCC comments
I00044,JadeHelm exercise,incident,"In the summer of 2015, thousands of troops from the US Army Special Operations command conducted and multi-state, weeks-long training operation across the southwest. Russian trolls amplified conspiracy theories promoted by far right media operatives such as Alex Jones, specifically: the Jade Helm 15 exercise was a precursor to domestic invasion and subsequent martial law by the Obama Administration in coordination with China. Some versions have deus ex machina such as an asteroid strike. Ultimately the Governor of Texas, Greg Abbot, was forced to speak out on the conspiracy theory, but he hedged on Obama’s motives.",2015,Russia,USA,https://www.politifact.com/texas/article/2018/may/03/jade-helm-15-greg-abbott-texas-state-guard-hayden-/,,2019-02-25,MIS,I00044 - JadeHelm exercise
I00045,Skripal,incident,"On 4 March 2018, Sergei Skripal, a former Russian military officer and double agent for the UK's intelligence services, and his daughter Yulia Skripal were poisoned in Salisbury, England, with a Novichok nerve agent known as A-234, according to official UK sources and the Organisation for the Prohibition of Chemical Weapons (OPCW)",2018,Russia,UK,https://www.bellingcat.com/tag/skripal/ https://euvsdisinfo.eu/conspiracy-mania-marks-one-year-anniversary-of-the-skripal-poisoning/,This is Beliingcat's full library of Skirpal related reporting,2019-03-20,,I00045 - Skripal
I00046,North Macedonia,incident,,2018,Russia,Macedonia,https://www.nytimes.com/2018/09/16/world/europe/macedonia-referendum-russia-nato.html https://www.polygraph.info/a/disinfo-analysis-macedonia-nato-russia/29770631.html,disinformation directed by Russian-backed groups trying to stoke fears and depress turnout in a vote that could put this Balkan nation on a path to join NATO.,2019-03-20,,I00046 - North Macedonia
I00047,Sea of Azov,incident,"An international incident occurred on 25 November 2018 when the Russian Federal Security Service (FSB) coast guard fired upon and captured three Ukrainian Navy vessels attempting to pass from the Black Sea into the Sea of Azov through the Kerch Strait on their way to the port of Mariupol. In 2014, Russia had annexed the nearby Crimean Peninsula, which is dominantly internationally recognised as Ukrainian territory. It later constructed the Crimean Bridge across the strait. Under a 2003 treaty, the strait and the Azov Sea are intended to be the shared territorial waters of both countries, and freely accessible.
The Russian Federal Security Service (FSB), which is also responsible for border protection, claims that the ships illegally entered Russian waters. The FSB alleges that crews did not comply with demands to stop. In the scuffle, a Russian border patrol ship rammed and damaged a Ukrainian Navy tugboat. Russian forces later seized all three Ukrainian ships, confiscating them for violating Russia's border. Six Ukrainian navy soldiers were injured, the Ukrainian navy reported. ",2018,Russia,World,https://euvsdisinfo.eu/wave-of-disinformation-from-the-azov-sea/,,2019-03-20,,I00047 - Sea of Azov
I00048,White Helmets,campaign,,2015,Russia,World,https://thesyriacampaign.org/wp-content/uploads/2017/12/KillingtheTruth.pdf https://www.theguardian.com/world/2017/dec/18/syria-white-helmets-conspiracy-theories,,2019-03-20,,I00048 - White Helmets
I00049,White Helmets: Chemical Weapons,incident,"On 7 April 2018, a high number of civilians were killed in the besieged Syrian city of Douma, with evidence pointing towards another chemical attack by the regime, according to the EU. Subsequent to this event, a series of images ""prove"" that the White Helmets ""staged"" the chemical attack in Syria.",2017,Russia,World,http://www.publications.atlanticcouncil.org/breakingghouta/disinformation-2/ https://www.bellingcat.com/news/mena/2018/12/18/chemical-weapons-and-absurdity-the-disinformation-campaign-against-the-white-helmets/ https://www.nybooks.com/daily/2018/10/16/why-assad-and-russia-target-the-white-helmets/,,2019-03-20,,I00049 - White Helmets: Chemical Weapons
I00050,#HandsOffVenezuela,incident,"Venezuela has been thrown into turmoil after Guaidó declared himself interim president Jan. 23. The 35-year-old president of the National Assembly says Venezuela's constitution grants him power to take control of the government because Maduro was re-elected last year by fraud. Guaidó has called for Maduro to leave office and call new elections.

More than 50 nations, including the United States and most of Latin America, concluded that Maduro's re-election last year was a fraud. They have recognized Juan Guaidó, president of the opposition-led National Assembly, as Venezuela's legitimate head of state, endorsing his mission to establish a transitional government and hold fresh elections.
Maduro has remained defiant in the face of domestic and international pressure, securing the support of the governments of Iran and Russia, as well as the loyalty of the Venezuelan military.",2019,Russia,World,https://euvsdisinfo.eu/twitter-as-an-information-battlefield-venezuela-a-case-study/,,2019-03-20,,I00050 - #HandsOffVenezuela
I00051,Integrity Initiative,incident,"The UK Foreign Office has accused Russian state media of trying to discredit a government-funded body that works to counter Kremlin disinformation. A spokesperson said the Institute for Statecraft was hacked several weeks ago and documents were ""published and amplified by Kremlin news channels"".
The FCO comments on the IfS were issued after a news report said the group had retweeted stories critical of Labour. Western officials believe the group involved in the hack is linked to the Russian state. Since then internal documents have been leaked to the Russian media about the organisation's activities, including lists of journalists it had contacted. The Foreign Office has provided £2.2m in funding to the institute over the last two years supported its work to counter disinformation overseas and not in the UK",2018,Russia,World,https://eaworldview.com/2019/01/counter-russia-disinformation-integrity-initiative/ https://www.stopfake.org/en/kremlin-watch-briefing-the-eu-has-to-start-taking-pro-kremlin-disinformation-seriously/,"This is an excellent example of the tables getting turned, and how we need to carefully work through offensive measures",2019-03-20,,I00051 - Integrity Initiative
I00052,China overiew,campaign,,2015,China,World,https://www.recordedfuture.com/china-social-media-operations/,"global strategic goals for China different from those President Vladimir Putin has for Russia; as a result, the social media influence techniques used by China are different from those used by Russia.",2019-03-20,,I00052 - China overiew
I00053,China Huawei CFO Arrest,incident,"Dec. 1: Canadian authorities arrest Huawei's chief financial officer Meng Wanzhou at Vancouver’s airport while she is en route from Hong Kong to Mexico, after an extradition request from the Americans. The news becomes public on Dec. 5. Dec. 7: In Vancouver, Meng appears in court, where allegations of fraud are laid out. The U.S. alleges Meng misled American banks in a bid to get around American sanctions on Iran. 
Geopolitically complex issue combines US/China trade; Security concerns/issues related to Huawei’s 5G wireless equipment; diplomacy between Canada & China as Chinese subsequently arrest Canadian citizens.",2018,China,World,https://www.theatlantic.com/international/archive/2019/03/czech-zeman-babis-huawei-xi-trump/584158/ https://www.theglobeandmail.com/politics/article-chinas-envoy-says-white-supremacy-played-part-in-canadas-arrest-of/,"“The Chinese have been very active here,” said General Andor Šándor, a former chief of the Czech military-intelligence service who is now a security consultant. “They don’t want to undermine our relationship with NATO, or the EU, unlike the Russians. What they are really keen on is to squeeze as much technological information from us as possible.”",2019-03-20,,I00053 - China Huawei CFO Arrest
I00054,China Muslims,incident,,2018,China,World,https://www.ctvnews.ca/world/china-says-foreign-concerns-over-muslim-rights-unwarranted-1.4178042 https://www.reuters.com/investigates/special-report/muslims-camps-china/,"China rejects the allegations that it has locked up large numbers of Muslims in re-education camps. The facilities, it says, are vocational training centers that emphasize “rehabilitation and redemption” and are part of its efforts to combat terrorism and religious extremism.",2019-03-20,,I00054 - China Muslims
I00055,50 Cent Army,campaign,,2008,China,World,https://www.voanews.com/a/who-is-that-chinese-troll/3540663.html,,2019-03-20,,I00055 - 50 Cent Army
I00056,Iran Influence Operations,campaign,"Iranian interference in the politics of Arab countries has become more self-evident since the Arab Spring of 2011. Iran has been trying to widen its influence in the region in a political confrontation with Saudi Arabia. Factor long-held hostility to US (Iran as a member of the “Axis of Evil”) & Isreal; it’s funding of proxies (Hezbolla) and Shia militia’s in Iraq; and most recently having the Revolutionary Guard being designated a terror organization; the seeming collapse of the Joint Comprehensive Plan of Action (nuclear programme) and expanding economic sanctions all add up to an increased likihood of Iran expanding their information operations.
While there is history to Iran’s information/influence operations, starting with FireEye’s report about Iranian “fake news” websites, and subsequent reports by DFRLab (Jan 31, 2019 and March 26, 2019) we have strong document proof and assets that highlight Iran’s activities.",2012,Iran,World,https://www.fireeye.com/blog/threat-research/2018/08/suspected-iranian-influence-operation.html https://www.reuters.com/article/us-cyber-iran-specialreport/special-report-how-iran-spreads-disinformation-around-the-world-idUSKCN1NZ1FT https://www.reuters.com/article/us-cyber-iran-specialreport/special-report-how-iran-spreads-disinformation-around-the-world-idUSKCN1NZ1FT https://www.rand.org/blog/2018/08/irans-disinformation-campaigns.html https://medium.com/dfrlab/takedown-details-of-the-iranian-propaganda-network-d1fad32fdf30 https://medium.com/dfrlab/trolltracker-outward-influence-operation-from-iran-cc4539684c8dhttps://comprop.oii.ox.ac.uk/wp-content/uploads/sites/93/2019/04/Iran-Memo.pdf,"FireEye has identified a suspected influence operation that appears to originate from Iran aimed at audiences in the U.S., U.K., Latin America, and the Middle East.",2019-03-20,,I00056 - Iran Influence Operations
I00057,Mexico Election,incident,,2018,"Russia,Mexico",Mexico,https://www.smh.com.au/world/north-america/misinformation-seeded-by-bots-and-trolls-invades-mexico-s-election-20180502-p4zctx.html https://medium.com/dfrlab/electionwatch-russian-bots-in-mexico-46003fcab4,,2019-03-20,,I00057 - Mexico Election
I00058,Chemnitz,incident,,2018,Russia,Germany,https://www.thebureauinvestigates.com/stories/2018-09-04/chemnitz-far-right-alternative-news http://www.spiegel.de/international/germany/merkel-facing-turbulence-after-right-wing-unrest-a-1228121.html,,2019-03-20,,I00058 - Chemnitz
I00059,Myanmar - Rohingya ,campaign,,2014,Myanmar,Myanmar,https://www.reuters.com/investigates/special-report/myanmar-facebook-hate/ https://www.nytimes.com/2018/10/15/technology/myanmar-facebook-genocide.html?action=click&module=Top%20Stories&pgtype=Homepage https://www.lawfareblog.com/facebooks-role-genocide-myanmar-new-reporting-complicates-narrative,Personal note (see Reuters side bar... end of article) JFG contributed research re: Twitter,2019-03-20,,I00059 - Myanmar - Rohingya 
I00060,White Genocide,campaign,,2018,Russia,World,https://www.smh.com.au/world/oceania/the-high-price-of-white-genocide-politics-for-australia-20180724-p4zt9k.html https://www.theatlantic.com/politics/archive/2018/08/trump-white-nationalism/568393/ https://www.iafrikan.com/2018/11/20/social-media-usa-south-africa-fake-news-disinformation/,Personal note (see Reuters side bar... end of article) JFG contributed research re: Twitter,2019-03-20,,I00060 - White Genocide
I00061,Military veterans Targetting,campaign,,2017,Russia,US,https://www.stripes.com/congressmen-urge-fbi-to-investigate-bots-targeting-veterans-with-fake-news-1.573284 https://www.voanews.com/a/russia-influence-operations-taking-aim-at-us-military/4640751.html https://www.washingtonpost.com/news/the-switch/wp/2017/10/09/russian-operatives-used-twitter-and-facebook-to-target-veterans-and-military-personnel-study-says/?utm_term=.d6fa34d4819c https://comprop.oii.ox.ac.uk/research/working-papers/vetops/,,2019-03-20,,I00061 - Military veterans Targetting
I00062,Brexit/UK ongoing,campaign,,2015,"Russia,UK",UK,https://www.politico.eu/article/britain-nationalist-dark-web-populism-tommy-robinson/? http://www.europarl.europa.eu/thinktank/en/document.html?reference=EPRS_STU(2019)634414,"This is current, and offers very good ""Anatomy of an ecosystem"" / EuroParl Think tank study... this is good CASE STUDY I: THE BREXIT CAMPAIGN and this Polarisation by manipulation",2019-03-20,,I00062 - Brexit/UK ongoing
I00063,Olympic Doping Scandal,campaign,"On 18 July 2016, Richard McLaren, a Canadian attorney retained by WADA to investigate Grigor Rodchenkov (the former head of Russia's national anti-doping laboratory, the Anti-Doping Center, which was suspended by the World Anti-Doping Agency (WADA) in November 2015 for facilitating Russia's elaborate state-sponsored doping program. Rodchenkov helped develop and distribute banned performance-enhancing substances for thousands of Russian Olympians from 2005 to 2015. He made headlines in 2016 as a whistleblower, helping expose the complex and extensive nature of Russia's doping program. His revelations lead to Russia's partial ban from the 2016 Summer Olympics and total ban from the 2018 Winter Olympics.). These allegations led to a 97-page report covering significant state-sponsored doping in Russia. 

The investigation found corroborating evidence after conducting witness interviews, reviewing thousands of documents, analysis of hard drives, forensic analysis of urine sample collection bottles, and laboratory analysis of individual athlete samples, with ""more evidence becoming available by the day."" The report concluded that it was shown ""beyond a reasonable doubt"" that Russia's Ministry of Sport, the Centre of Sports Preparation of the National Teams of Russia, the Federal Security Service (FSB), and the WADA-accredited laboratory in Moscow had ""operated for the protection of doped Russian athletes"" within a ""state-directed failsafe system"" using ""the disappearing positive [test] methodology"" (DPM) after the country's poor medal count during the 2010 Winter Olympic Games in Vancouver. McLaren stated that urine samples were opened in Sochi in order to swap them ""without any evidence to the untrained eye"". The official producer of BEREG-KIT security bottles used for anti-doping tests, Berlinger Group, stated, ""We have no knowledge of the specifications, the methods or the procedures involved in the tests and experiments conducted by the McLaren Commission.""",2016,Russia,World,https://www.nytimes.com/2016/05/13/sports/russia-doping-sochi-olympics-2014.html?module=inline,,2019-04-06,,I00063 - Olympic Doping Scandal
