disarm_id,name,url,summary,provides_tools,sector,primary_role,secondary_role,primary_subject,secondary_subject,volunteers,region,country,rand_list,credco_list,carnegie_list,twitter_handle,notes,Unnamed: 18
G000023,Amped Software,https://ampedsoftware.com/authenticate,"Amped Software offers image and video forensics and authentication tools that enable users to detect whether images or videos have been manipulated or altered. Amped uses peer-reviewed, scientific techniques for its product, and law enforcement agencies have used the tool for rigorous use cases such as discerning whether an image can be used in court.",Yes,Technology,,,,,,Global,,,N,Y,,,
G000024,Analiziraj,https://analiziraj.ba/,,,Civil Society/NGO,Fact checking,Journalism,,,,Europe,Bosnia and Herzegovina,,N,N,,,
G000025,Antidote,https://antidote.ngo/,"""Exit counselors"" or ""de-radicalizers,"" Antidote helps people caught up in cultic ideologies to reconnect with reality",,Civil Society/NGO,Education (public),,Extremism/indoctrination,Societal resilience,,,USA,,,,,,
G000026,Aos Fatos,https://www.aosfatos.org/,"Aos Fatos conducts fact-checking and provides technology and consulting services to organizations interested in automated fact-checking products and data verification. They also fconduct act-checking for internal reporting. Aos Fatos built Fátima, a fact-checking robot for Facebook messenger. Aos Fatos is one of Facebook's Third-Party Fact-Checkers.",,Civil Society/NGO,Fact checking,Journalism,,,,South America,Brazil,,Y,Y,,,
G000027,AP Fact Check (Associated Press (AP)),https://www.apnews.com/APFactCheck,AP is an international news conglomerate which addresses global breaking news via quality journalism and reporting. AP Fact Check is the formal public fact-checking service of the organization and is one of Facebook's Third-Party Fact-Checkers.,,Media,Fact checking,Journalism,,,,North America,USA,,Y,Y,,,
G000028,ARD-FaktenFinder,https://www.tagesschau.de/faktenfinder/,ARD-FaktenFinder is the fact-checking program of German media organization ARD's online news platform.,,Media,Fact checking,Journalism,,,,Europe,Germany,,N,Y,,,
G000029,Argonne National Laboratory: Decisions and Infrastructure Sciences Division,https://www.anl.gov/dis/gat,The Decisions and Infrastructure Sciences Division at Argonne National Laboratory (ANL) is currently applying predictive modeling to combat disinformation. They are capable of providing a deep access data analytics system.,Yes,Education/academia,,,,,,North America,USA,,N,Y,,,
G000030,Arizona State University: Detecting Frames,http://www.public.asu.edu/~hdavulcu/IJSC16.pdf,"Detecting Frames is a research project at the School of Computing, Informatics and Decision Systems Engineering at Arizona State University. It outlines the utilization of computational power to understand the subliminal framing of topics in the media and within networks. Similar to the way that sentiment analysis understands attitudes based on keyword usage, “Detecting Frames” understands perspective and bias packaging based on sentence annotation.",,Education/academia,Research (primary/secondary),,,,,North America,USA,,N,Y,,,
G000031,Article19,https://www.article19.org/,,,,,,,,,,,,,,,,
G000032,Asociatia Presei Independente (API),http://api.md/,"API is a resource center and association of newsrooms dedicated to improving the quality of independent journalism in Moldova through advocacy and professional development. The organization is coordinating the ""STOP FALS!"" Campaign to educate news consumers and combat the spread of false or manipulative information.",,Civil Society/NGO,Fact checking,Journalism,,,,Europe,Moldova,,N,Y,,,
G000033,Aspen Institute,https://www.aspeninstitute.org/,"The Aspen Institute convenes leaders and thinkers to address challenges to global prosperity and peace. Through its work on communications and culture and security and global affairs, the Aspen Institute has published analysis and hosted events on election security, disinformation, and cybersecurity. It also hosts the Knight Commission Trust, Media and Democracy, which convenes academic, journalistic, technology, and advocacy experts to address the American media landscape.",,Civil Society/NGO,Research (primary/secondary),Public Policy,,,,North America,USA,,N,Y,,,
G000034,Assembler,https://jigsaw.google.com/assembler/,Assembler is an experimental platform advancing new detection technology to help fact-checkers and journalists identify manipulated media. The experiment is developed by Jigsaw and Google Research.,Yes,Technology,,,,,,North America,USA,,N,Y,,,
G000035,Association for International Affairs (Asociace Pro Mezinárodní Otázky) (AMO),http://www.amo.cz/,"AMO conducts research and advocacy on issues in international relations through policy briefings and research papers, conferences and roundtables, educational projects, and collaboration with other public policy organizations. AMO runs a project on Strengthening Public Scrutiny in Ukrainian Regions, which works to address disinformation in Ukraine through research and training. Its partners on this project include the Czech Ministry of Foreign Affairs, the Institute of Mass Information, stopfake.org, and demagog.cz.",,Civil Society/NGO,Public Policy,Research (primary/secondary),Democracy,Civil Liberties (human rights),,Europe,Czech Republic,,N,Y,,,
G000036,Astroscreen,https://www.astroscreen.com/,Astroscreen counters disinformation and terrorist content spread via “astroturfing” by detecting fake social media accounts and networks of bots.,Yes,Technology,,,,,,Europe,,,N,Y,,,
G000037,Athens Technology Center (ATC),https://www.atc.gr/?page=news&ListID=3&RowID=348&Year=2021,Built TruthNest,Yes,Technology,,,,,,Europe,Greece,,,,,,
G000038,Atlantic Council: Digital Forensics Research Lab (DFR Lab),https://www.atlanticcouncil.org/programs/digital-forensic-research-lab/,"The Atlantic Council's Digital Forensics Research Lab (DFR Lab) documents and tracks foreign-backed influence operations and provides analysis on these incidents in order to aid the public in identifying and exposing such activities. DFR Lab also runs 360/OS, an annual conference providing training to journalists and activists on open source, social media, and digital forensic tools for identifying and documenting malign uses of digital technologies. The Atlantic Council also coordinated #ElectionWatch, an effort to monitor foreign influence in elections in Brazil, Colombia, and Mexico in 2018.",,Civil Society/NGO,Investigations,Research (primary/secondary),,,,North America,USA,,Y,Y,,,
G000039,Atlantic Council: Disinfo Portal (Eurasia Center),https://disinfoportal.org/about-disinfo-portal/,"The Atlantic Council's Eurasia Center has created Disinfo Portal, which aggregates information about ongoing efforts to counter disinformation and provides a database of partners and experts.",,Civil Society/NGO,Research (primary/secondary),,,,,North America,USA,,Y,Y,,,
G000040,Attestiv Inc.,https://www.attestiv.com,"Attestiv provides authenticity for photos, videos and other media, limiting deepfake threats, data tampering, and helping to enable new media protection solutions for businesses and organizations.",Yes,Technology,,,,,,North America,USA,,N,Y,,,
G000041,attribution.news,https://attribution.news,The attribution.news project is a joint initiative led by First Draft and the Stanford Internet Observatory. The website aims to provide more accessible background explanations to assist reporters in covering attribution.,,Civil Society/NGO,Fact checking,Journalism,,,,Global,UK,,N,Y,,,
G000042,Australian Associated Press FactCheck,https://factcheck.aap.com.au/,FactCheck is the Australian Associated Press's fact-checking initiative. FactCheck is a signatory of the International Fact-Checking Network.,,Media,Fact checking,Journalism,,,,Australia and Oceania,Australia,,Y,Y,,,
G000043,Australian Department of Home Affairs: Electoral Integrity Assurance Taskforce,https://www.aec.gov.au/elections/electoral-advertising/electoral-integrity.htm,"Led by the Australian Department of Home Affairs, the Electoral Integrity Assurance Taskforce is composed of members of various government agencies and deals with foreign cyber-enabled threats to election integrity.",,Government,Investigations,,,,,Australia and Oceania,Australia,,N,Y,,,
G000044,Australian Strategic Policy Institute (ASPI),https://www.aspi.org.au/program/international-cyber-policy-centre,"ASPI conducts research on issues in international peace and security and Australian foreign policy. Through its International Cyber Policy Centre, members of ASPI have published reports on the topics of disinformation, persuasion-based cyber warfare, and Chinese influence campaigns.",,Civil Society/NGO,Research (primary/secondary),Public Policy,,,,Australia and Oceania,Australia,,N,Y,,,
G000045,Authoritarian Interference Tracker (Alliance for Securing Democracy),https://securingdemocracy.gmfus.org/toolbox/authoritarian-interference-tracker/,"The Authoritarian Interference Tracker exposes the Russian and Chinese governments’ foreign interference activities in more than 40 transatlantic countries from 2000 to the present across the five tools ASD tracks. These tools are: information manipulation, cyber operations, malign finance, civil society subversion, and economic coercion. The Tracker shines a light on the tactics and trends that define the Russian and Chinese governments’ interference efforts in democracies, and highlights the interconnectivity between different parts of the asymmetric toolkit. Forthcoming iterations of the Tracker will expand to catalog authoritarian interference by other regimes that adopt similar tactics to undermine democracies.",,Civil Society/NGO,Investigations,,,,,North America,USA,,N,Y,,,
G000046,Avaaz,https://secure.avaaz.org/,,Yes,Civil Society/NGO,,,,,Y,North America,,,N,N,,,
G000047,Balkan Investigative Reporting Network,,,,,,,,,,,,,,,,,
G000048,Barcelona Centre for International Affairs (Centro de Barcelona para Asuntos Internacionales) (CIDOB),https://www.cidob.org/,"CIDOB conducts research and policy analysis on global issues in peace and security. As part of its work on security, CIDOB researchers have published on disinformation and EU responses, Russia's Spanish media efforts, and deepfakes. CIDOB works with the German Marshall Fund to organize the Mercator European Dialogue, which convenes members of European parliaments to discuss public policy issues. Through this program, the German Marshall Fund convened policymakers in May 2019 to discuss disinformation and fake news in European elections.",,Civil Society/NGO,Research (primary/secondary),Public Policy,,,,Europe,Spain,,N,Y,,,
G000049,BBC Media Action ,https://www.bbc.co.uk/mediaaction/our-work/covid-19,"Our dedicated teams moved rapidly to adapt our existing projects to address the knock-on effects of COVID-19 – from increased levels of violence against women, to children losing out on an education during lockdown. Through media, we’re helping people understand what they can do, individually and as a community, and how they can hold their leaders to account.We are committed to supporting the international response for the long haul – helping people to survive, cope and recover from COVID-19, meeting their diverse and changing needs, and supporting local media to keep their communities informed. As an independent charity, we are not funded by the BBC TV Licence Fee. We rely on the support of generous donors – governments, foundations, corporations and individuals – to make our work possible. Trusted and accurate information will save lives.",,Civil Society/NGO,Media,,,,,UK,Europe,,,,,,
G000050,BBC Beyond Fake News,https://www.bbc.co.uk/beyondfakenews/,"BBC reporting, education and training to help you understand the challenges posed by misinformation and fake news",,Media,Societal Resilience,,,,,Europe,UK,,N,N,,,
G000051,Be Internet Citizens (YouTube),https://internetcitizens.withyoutube.com/,"YouTube, a Google company, is addressing disinformation through media literacy. Be Internet Citizens has been designed to teach teenagers about media literacy, critical thinking and digital citizenship, with the aim of encouraging young people to have a positive voice online.",,Technology,Societal Resilience,,,,,Europe,,,N,Y,,,
G000052,Belgian Expert Group on Disinformation and Fake News,https://www.decroo.belgium.be/nl/expertengroep-formuleert-aanbevelingen-voor-aanpak-fake-news,"In 2018, Digital Agenda Minister Alexander De Croo called for the creation of an expert group composed of academics and journalists to formulate proposals for countering disinformation in Belgium. The expert group delivered its recommendations in July 2018.",,Government,Public Policy,,,,,Europe,Belgium,,N,Y,,,
G000053,Bellingcat,https://www.bellingcat.com,"Bellingcat is an independent international collective of researchers, investigators and citizen journalists using open source and social media investigation to probe a variety of subjects, including online influence operations. It also runs training programs for investigative journalists and publishes training guides in its Online Investigation Toolkit.",,Civil Society/NGO,Investigations,Fact checking,,,Yes,Europe,UK,,Y,Y,,,
G000054,Berkman Klein Center,,,,,,,,,,,,,,,,,
G000055,BeWorks,,,,,,,,,,,,,,,,,
G000056,Bien Chequeado,https://www.tvn-2.com/bien-chequeado/,Bien Chequeado is TVN Noticias's fact-checking initiative.,,Media,Fact checking,Journalism,,,,South America,Panama,,Y,Y,,,
G000057,BitPress,https://bitpress.news/,Bitpress is a nonpartisan fact-checking organization that uses technology solutions and trained analysts to identify misinformation and prevent its spread.,,Technology,Fact checking,Journalism,,,,Global,,,Y,Y,,,
G000058,Blackbird,https://www.blackbird.ai/,Blackbird.AI is a company that provides artificial intelligence tools to detect emerging propaganda campaigns and help clients respond.,Yes,Technology,,,,,,North America,USA,,Y,Y,,,
G000059,Bluescreen IT,,,,,,,,,,,,,,,,,
G000060,BOOM,https://www.boomlive.in/,"BOOM is an Indian fact-checking initiative that provides content in English, Hindi, and Bengali. The organization runs a WhatsApp helpline, and it is part of the International Fact-Checking Network.",,Civil Society/NGO,Fact checking,Journalism,,,,Asia,India,,Y,Y,,,
G000061,Bot Sentinel,https://botsentinel.com/,"Bot Sentinel is a free and open platform and browser plugin that detects likely bots on Twitter. A dashboard lets users explore trending topics, network connections, and data associated with suspicious accounts. The product also provides a “block list” that enables users to block likely bots from their own Twitter spheres.",Yes,Technology,,,,,,North America,USA,Y,N,Y,,,
G000062,Botometer,https://botometer.iuni.iu.edu/#!/faq,"Botometer is a web-based program that uses machine learning to classify Twitter accounts as bot or human by looking at features of a profile including friends, social network structure, temporal activity, language and sentiment. Botometer outputs an overall bot score (0-5) along with several other scores that provides a measure of the likelihood that the account is a bot.",Yes,Education/academia,,,,,,North America,USA,Y,N,Y,,,
G000063,Botslayer,https://osome.iuni.iu.edu/tools/botslayer/,,Yes,Technology,,,,,,,,,Y,N,,,
G000064,Brandpie,https://www.brandpie.com/people,,,,,,,,,,,,,,,,
G000065,Brave,,,,,,,,,,,,,,,,,
G000066,Bridgit,Bridgit.io,,,,Influencer (on policy),,,,,,UK,,,,,,
G000067,Brookings Institute: Project on Global Democracy and Emerging Technology,https://www.brookings.edu/experts/alina-polyakova/,The Brookings Institution's Project on Global Democracy and Emerging Technology addresses state and non-state technological threats and convenes technology and policy communities around these issues.,,Civil Society/NGO,Research (primary/secondary),,Democracy,Civil Liberties (human rights),,North America,USA,,N,Y,,,
G000068,Brookings Institution: Center for Technology Innovation,https://www.brookings.edu/center/center-for-technology-innovation/,"The Brookings Institution's Center for Technology Innovation provides research, policy analysis, and advocacy on global technology innovation. Part of its research agenda includes digital media, news, and entertainment. The Cybersecurity and Election Interference Project publishes analysis on election security, foreign interference in elections, and the potential for widespread disinformation and proliferation of deepfakes in electoral contexts. The Project on Global Democracy and Emerging Technology addresses state and non-state technological threats and convenes technology and policy communities around these issues.",,Civil Society/NGO,Research (primary/secondary),Public Policy,,,,North America,USA,,N,Y,,,
G000069,Brookings Institution: Cyber Security and Election Interference,https://www.brookings.edu/series/cybersecurity-and-election-interference/,"The Cyber Security and Election Interference is a series designed to be accessible to policymakers, journalists, and the general public, will explore digital threats to American democracy, cybersecurity risks, and ways to mitigate possible problems. It will also take a look at several examples of the problem, how other democracies are coping with the threats, and how Congress, state officials, political parties, and candidates can protect themselves from cybersecurity attacks.",,Civil Society/NGO,Public Policy,,Democracy,Civil Liberties (human rights),,North America,USA,,N,Y,,,
G000070,Brunswick,,,,,,,,,,,,,,,,,
G000071,BT,,,,,,,,,,,,,,,,,
G000072,Cal State,,,,,,,,,,,,,,,,,
G000073,Callsign,https://www.callsign.com,"Callsign leverages deep learning and technical/ behavioral forensics to differentiate between legitimate and fraudulent users, allowing companies to keep information secure by adding an additional layer of protection to logins, and potentially disallowing bad actors from accessing secure information and accounts. Callsign technology may ensure that bad actors are not able to hijack legitimate accounts to propagate disinformation. Furthermore, genuine identities could remain safe from account takeovers, account borrowing, and “first person fraud” used to spread adversarial propaganda and disinformation.",Yes,Technology,,,,,,Europe,,,N,Y,,,
G000074,Canada,,,,,,,,,,,,,,,,,
G000075,Captain Fact,https://captainfact.io/,CaptainFact is a collaborative fact-checking project that relies on a browser extension to show fact-checked statements in YouTube videos.,,Civil Society/NGO,Fact checking,Journalism,,,,Global,,,Y,Y,,,
G000076,"Cardiff University: Open Source Communications, Analytics Research Development Centre",http://upsi.org.uk/oscar,"The Open Source Communications, Analytics Research (OSCAR) Development Centre is an innovative, multi-disciplinary Centre bringing together academics and police practitioners to develop a research evidence base around the use of open source information for policing and community safety services. Funded by the Home Office / HEFCE / and the College of Policing, the work of the centre will help to develop open source methodologies, technologies and insights that will shape the future of policing.",,Education/academia,Research (primary/secondary),Investigations,,,,Europe,UK,,N,Y,,,
G000077,Cardiff University: Social Data Science Lab,http://socialdatalab.net/ ,,,Education/academia,Research (primary/secondary),,,,,Europe,UK,,N,N,,,
G000078,Carnegie Endowment: Partnership for Countering Influence Operations (Carnegie Endowment for International Peace),https://carnegieendowment.org/specialprojects/counteringinfluenceoperations,"The Partnership for Countering Influence Operations (PCIO) believes that little progress will be made without a spirit of partnership between governments, the tech industry, media, academia, and civil society. Such collaborations are challenging but necessary in order to accomplish the three aims that PCIO believes are vital: to answer difficult policy problems related to influence operations; to find ways to measure the effect of adversarial influence operations; and to develop methods for measurement and evaluation of countermeasures.",,Civil Society/NGO,Research (primary/secondary),Public Policy,,,,North America,USA,,N,Y,,,
G000079,Carnegie Mellon University: Center for Computational Analysis of Social and Organizational Systems (CASOS),http://www.casos.cs.cmu.edu/index.php,"CASOS develops and applies computational tools for utilizing data to analyze social phenomena, to explain and predict social behavior using these tools, and to measure and evaluate the impact of policies and procedures affecting social behavior. CASOS has a project on the diffusion of false and misleading information and draws comparisons between community responses to key issues.",,Education/academia,Research (primary/secondary),Public Policy,Democracy,Civil Liberties (human rights),,North America,USA,,N,Y,,,
G000080,Carnegie Mellon University: Center for Informed Democracy and Social Cyber-Security (CIDC / IDEAS),https://www.cmu.edu/ideas-social-cybersecurity/,CIDC studies online disinformation and its impact on democracy. The Center conducts research and connects individuals working on disinformation and related issues in order to educate journalists and policymakers. Its research and teaching focus on identifying disinformation and its sources and countering its spread.,,Education/academia,Research (primary/secondary),Public Policy,Democracy,Civil Liberties (human rights),,North America,USA,,N,Y,,,
G000081,Carnegie Mellon University: Social Cybersecurity Project (Human-Computer Interaction Institute),https://socialcybersecurity.org/,The Social Cybersecurity Project leverages insights from social psychology and other fields to develop novel interventions and strategies for nudging adoption of expert-recommended tools and practices,,Education/academia,Research (primary/secondary),,,,,North America,USA,,N,Y,,,
G000082,Carnegie Trust (UK),https://www.carnegieuktrust.org.uk,,,Civil Society/NGO,,,,,,Europe,UK,,,,,,
G000083,CASM Digital Research Lab (Demos),https://demos.co.uk/research-area/casm/,"A joint venture between UK-based Demos and the University of Sussex, the CASM Digital Research Lab is an initiative that utilizes machine learning to interpret natural language data and derive insights about technology policy. CASM has produced reports on information operations, Russian influence operations on Twitter, the future of political campaigning, social media and the 2017 British General Election, social media in Nigerian elections, and digital political advertising.",,Civil Society/NGO,Research (primary/secondary),Public Policy,,,,Europe,UK,,N,Y,,,
G000084,Cato Institute,https://www.cato.org/,"The Cato Institute conducts research and analysis on American domestic and foreign policy issues. Its scholars have written on social media regulation in the face of disinformation, and the Institute hosts a Project on Emerging Technologies which works on issues at the intersection of new technologies and civil liberties.",,Civil Society/NGO,Research (primary/secondary),Public Policy,,,,North America,USA,,N,Y,,,
G000085,Cek Fakta,https://cekfakta.com,Cek Fakta is an Indonesian fact-checking initiative.,,Civil Society/NGO,Fact checking,Journalism,,,,Asia,Indonesia,,Y,Y,,,
G000086,"Center for Analysis, Planning and Strategy of France (Centre d'analyse, de prévision et de stratégie) (CAPS)",https://www.diplomatie.gouv.fr/fr/le-ministere-et-son-reseau/le-centre-d-analyse-de-prevision-et-de-strategie/,"CAPS is composed of academic experts and diplomats that provide research and analysis on medium- to long-term trends in international affairs and foreign policy. In partnership with the Institute for Strategic Research, CAPS produced a comprehensive report on influence operations and recommendations for governments, civil society organizations, and private actors for mitigating the impact of hostile influence operations.",,Government,Research (primary/secondary),Public Policy,,,,Europe,France,,N,Y,,,
G000087,Center for Democracy & Technology (CDT),https://cdt.org/,CDT provides research and advocacy on public policies designed to preserve freedom and innovation online. CDT's experts provide analysis on legislation and social media platforms' efforts aimed at curbing disinformation and protecting the integrity of elections.,,Civil Society/NGO,Public Policy,,Democracy,Civil Liberties (human rights),,North America,USA,,N,Y,,,
G000088,Center for Democratic Transition (Centar za Demokratsku Tranziciju) (CDT),http://www.en.cdtmn.org/,"CDT is dedicated to promoting democratic accountability and transparency in Montenegro through advocacy, research, monitoring of institutions and policies. CDT worked with NATO's Public Diplomacy Division to run a project on countering disinformation and propaganda.",,Civil Society/NGO,Research (primary/secondary),Public Policy,,,,Europe,Montenegro,,N,Y,,,
G000089,Center for East European Policy Studies (Austrumeiropas Politikas Pētījumu Centrs) (CEEPS),http://appc.lv/eng/,CEEPS conducts research and analysis on Latvian foreign policy with a focus on Russia's influence in European politics and security. Its scholars have contributed to research on resilience to disinformation in Central and Eastern Europe and participated in expert discussions on Russian influence operations organized by the European Center for Excellence for Countering Hybrid Threats. CEEPS is also part of the Center for European Policy Analysis's #DisinfoNet,,Civil Society/NGO,Research (primary/secondary),Public Policy,,,,Europe,Latvia,,N,Y,,,
G000090,Center for Euro-Atlantic Studies (Centar za Evroatlantske Studije) (CEAS),https://www.ceas-serbia.org/,"CEAS conducts research and analysis on public policy, international cooperation, and global security with a focus on Central and Eastern Europe. CEAS is a partner of the Atlantic Council's Disinfo Portal.",,Civil Society/NGO,Research (primary/secondary),Public Policy,,,,Europe,Serbia,,N,Y,,,
G000091,Center for European Policy Analysis (CEPA),https://www.cepa.org/disinfonet,"The StratCom Program housed at CEPA is ""an innovative, on-the-ground effort to monitor, collate, analyze, rebut and expose Russian disinformation in Central and Eastern Europe."" The program seeks to create analytical toolkits for countering disinformation, host workshops, monitor the effectiveness of Russian propaganda, provide data on ongoing efforts, and provide policy guidance. CEPA also coordinates #DisinfoNet, a coalition of think tanks and organizations working to understand and combat Russia’s information operations.",,Civil Society/NGO,Research (primary/secondary),Public Policy,,,,North America,USA,,N,Y,,,
G000092,Center for Investigative Reporting (CIR),http://www.revealnews.org/,"Through its publishing platform Reveal, CIR seeks to empower the public and hold leaders accountable through investigative journalism. The organization has published an online guide to disinformation.",,Civil Society/NGO,Investigations,,,,,North America,USA,,N,Y,,,
G000093,Center for Strategic & International Studies: Defending Democratic Institutions (CSIS),https://www.csis.org/programs/international-security-program/defending-democratic-institutions,"This project seeks to counter Russia, and potentially other adversaries, in their efforts to disrupt democracy and cultivate a public distrust of democratic institutions. A key focus of this initiative is on understanding and countering adversary attacks on America’s justice system, to include courts, judges, prosecutors, and the rule of law. Improving cybersecurity of institutions and individuals is a crucial mechanism for strengthening America’s capacity to guard against threats to democracy. In addition, the initiative will focus on building national resilience against information operations that threaten to undermine public respect for democratic institutions.",,Civil Society/NGO,Public Policy,Research (primary/secondary),Democracy,Civil Liberties (human rights),,North America,USA,,N,Y,,,
G000094,Center for Strategic & International Studies: Gray Zone Project,https://www.csis.org/grayzone,"CSIS’s International Security Program has analyzes hybrid and Gray Zone threats and aims to identify how the United States can best deter, campaign in, and respond to gray zone approaches.",,Civil Society/NGO,Research (primary/secondary),,,,,North America,USA,,N,Y,,,
G000095,Center for Strategic & International Studies: Transnational Threats Project (CSIS),https://www.csis.org/programs/transnational-threats-project,"CSIS coordinates a Transnational Threats Project, which has addressed Russian interference in the U.S. context and U.S. strategies to combat Russian information warfare, within the context of a broader focus on terrorism, insurgency, and crime.",,Civil Society/NGO,Research (primary/secondary),,,,,North America,USA,,N,Y,,,
